bag_name,start_s,end_s,target_label,target_visible,correct_target_track_id,distractor_track_ids,event_type,notes
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,0.0,103.9766402863256,CORRECT_TARGET,True,1,,manual_interval,created in TIM clean UI
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,103.9766402863256,172.48480115451662,CORRECT_TARGET,True,2,,manual_interval,created in TIM clean UI
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,172.48480115451662,186.53569849050655,CORRECT_TARGET,True,15,,manual_interval,created in TIM clean UI
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,186.53569849050655,195.76914531129995,CORRECT_TARGET,True,16,,manual_interval,created in TIM clean UI
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,195.76914531129995,248.6205920051021,CORRECT_TARGET,True,17,,manual_interval,created in TIM clean UI
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,248.6205920051021,281.1383829826789,CORRECT_TARGET,True,10,,manual_interval,created in TIM clean UI
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,281.1383829826789,283.5471082402771,CORRECT_TARGET,True,26,,manual_interval,created in TIM clean UI
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,283.5471082402771,290.39190251395223,CORRECT_TARGET,True,20,,manual_interval,created in TIM clean UI
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,290.39190251395223,310.1835950472181,CORRECT_TARGET,True,24,,manual_interval,created in TIM clean UI
2026-06-19__12-55-58__source__2026-06-19__official__seq03__four_person_crossing_ambiguity__image_raw__detector_yolov8s__tracker_bytetrack__tim_mars__target_largest,310.1835950472181,335.475210252,CORRECT_TARGET,True,29,,manual_interval,created in TIM clean UI
