bag_name,start_s,end_s,target_label,target_visible,correct_target_track_id,distractor_track_ids,event_type,notes
2026-05-14__hard_reentry_ocsort_tim_on_target1,0.00,5.80,NO_TARGET_SELECTED,true,1,2,pre_selection,target visible but no target selected yet
2026-05-14__hard_reentry_ocsort_tim_on_target1,5.80,54.40,CORRECT_TARGET,true,1,2,correct_tracking,selected person visible as id 1; raw and TIM mostly follow correctly; short overlay/tracker flickers ignored in ground truth
2026-05-14__hard_reentry_ocsort_tim_on_target1,54.40,55.10,CORRECT_TARGET,true,,2,transition_uncertain,crossing interval with intermittent selected-person detection
2026-05-14__hard_reentry_ocsort_tim_on_target1,55.10,73.90,CORRECT_TARGET,true,1,2,correct_tracking,selected person remains id 1; raw mostly correct; TIM has intermittent suppression flicker
2026-05-14__hard_reentry_ocsort_tim_on_target1,73.90,75.90,CORRECT_TARGET,true,,1,transition_uncertain,crossing/occlusion interval; identity/detections intermittently unavailable
2026-05-14__hard_reentry_ocsort_tim_on_target1,75.90,86.00,CORRECT_TARGET,true,96,1,wrong_target_interval,selected person becomes id 96 after crossing; raw mainly remains on distractor id 1
2026-05-14__hard_reentry_ocsort_tim_on_target1,86.00,87.80,CORRECT_TARGET,false,,1,target_not_visible,target occluded behind distractor; no reliable target id
2026-05-14__hard_reentry_ocsort_tim_on_target1,87.80,105.10,CORRECT_TARGET,true,113,1,wrong_target_interval,selected person visible as id 113; raw mainly remains on distractor id 1
2026-05-14__hard_reentry_ocsort_tim_on_target1,105.10,106.40,CORRECT_TARGET,false,,1,target_not_visible,crossing/occlusion; selected person not reliably identifiable
2026-05-14__hard_reentry_ocsort_tim_on_target1,106.40,110.40,CORRECT_TARGET,true,142,1,recovered_target,selected person visible as id 142; raw and TIM mostly correct
2026-05-14__hard_reentry_ocsort_tim_on_target1,110.40,116.50,CORRECT_TARGET,true,142,1,wrong_target_interval,selected person remains id 142 before crossing; raw/TIM often not following selected target or no output
2026-05-14__hard_reentry_ocsort_tim_on_target1,116.50,136.80,CORRECT_TARGET,true,161,1;173,recovered_target,selected person visible as id 161; raw and TIM mostly recover correctly with intermittent tracker dropouts
