bag_name,start_s,end_s,target_label,target_visible,correct_target_track_id,distractor_track_ids,event_type,notes
2026-06-19__seq03__crossing_ambiguity__annotation_input__det_yolov8s__trk_bytetrack__tim_off__target_largest,0.0,39.657,CORRECT_TARGET,true,2,,clean_visible,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,39.657,39.698,CORRECT_TARGET,true,8,,id_switch_fragmentation,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,39.698,44.149,CORRECT_TARGET,true,8,,clean_visible,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,44.149,47.838,CORRECT_TARGET,true,8,,occlusion_ambiguity,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,47.838,62.012,CORRECT_TARGET,true,8,,clean_visible,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,62.012,64.179,CORRECT_TARGET,true,8,,occlusion_ambiguity,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,64.179,65.034,CORRECT_TARGET,true,8,,occlusion_ambiguity,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,65.034,65.847,CORRECT_TARGET,true,12,,id_switch_fragmentation,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,65.847,73.219,CORRECT_TARGET,true,12,,clean_visible,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,73.219,75.461,CORRECT_TARGET,true,12,,occlusion_ambiguity,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,75.461,76.822,CORRECT_TARGET,true,12,,clean_visible,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,76.822,77.934,CORRECT_TARGET,true,12,,occlusion_ambiguity,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,77.934,81.830,CORRECT_TARGET,true,12,,occlusion_ambiguity,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,81.830,86.348,CORRECT_TARGET,true,12,,clean_visible,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,86.348,86.892,CORRECT_TARGET,true,17,,id_switch_fragmentation,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,86.892,88.403,CORRECT_TARGET,true,17,,clean_visible,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,88.403,89.197,CORRECT_TARGET,true,13,,id_switch_fragmentation,created in TIM clean UI
2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,89.197,95.727,CORRECT_TARGET,true,13,,occlusion_ambiguity,created in TIM clean UI
