bag_name,start_s,end_s,target_label,target_visible,correct_target_track_id,distractor_track_ids,event_type,notes
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,0.000,17.900,CORRECT_TARGET,true,5,,clean_visible,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,17.900,26.500,CORRECT_TARGET,true,10,,clean_visible,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,26.500,27.400,CORRECT_TARGET,true,22,,clean_visible,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,27.400,37.730,CORRECT_TARGET,true,1,,clean_visible,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,37.730,45.570,CORRECT_TARGET,true,34,,clean_visible,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,45.570,55.730,CORRECT_TARGET,true,45,,clean_visible,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,55.730,56.970,CORRECT_TARGET,true,61,,clean_visible,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,56.970,57.570,CORRECT_TARGET,true,45,,clean_visible,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,57.570,66.400,CORRECT_TARGET,false,0,,target_absent,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,66.400,69.970,CORRECT_TARGET,true,87,,clean_visible,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,69.970,77.330,CORRECT_TARGET,false,0,,target_absent,created in TIM clean UI
2026-06-19__12-59-53__source__2026-06-19__official__seq04__four_person_occlusion_no_exit__image_raw__detector_yolov8s__tracker_deepsort__tim_off__target_1,77.330,86.470,CORRECT_TARGET,true,98,,clean_visible,created in TIM clean UI
