bag_name,start_s,end_s,target_label,target_visible,correct_target_track_id,distractor_track_ids,event_type,notes
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,0.000,24.770,BLACK_SHIRT,true,1,2,clean_visible,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,24.770,25.470,BLACK_SHIRT,true,1,2,occlusion_ambiguity,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,25.470,29.370,BLACK_SHIRT,true,1,2,clean_visible,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,29.370,30.180,BLACK_SHIRT,true,1,2,occlusion_ambiguity,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,30.180,33.930,BLACK_SHIRT,true,1,2,clean_visible,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,33.930,36.270,BLACK_SHIRT,true,1,2,occlusion_ambiguity,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,36.270,40.030,BLACK_SHIRT,true,69,"1,2",clean_visible,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,40.030,41.500,BLACK_SHIRT,true,69,"1,2",occlusion_ambiguity,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,41.500,49.640,BLACK_SHIRT,true,69,"1,2",clean_visible,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,49.640,50.170,BLACK_SHIRT,true,69,"1,2",occlusion_ambiguity,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,50.170,51.230,BLACK_SHIRT,true,69,"1,2",occlusion_ambiguity,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,51.230,55.070,BLACK_SHIRT,true,69,"1,2",clean_visible,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,55.070,56.030,BLACK_SHIRT,true,69,"1,2",occlusion_ambiguity,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,56.030,58.160,BLACK_SHIRT,true,69,"1,2",clean_visible,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,58.160,58.930,BLACK_SHIRT,true,69,"1,2",occlusion_ambiguity,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__tracker_deepsort__tim_off__target_1,58.930,67.700,BLACK_SHIRT,true,69,"1,2",clean_visible,"created in TIM clean UI | DeepSORT corrected from visual UI; id=1 before 35.800s, id=69 after; event labels copied from ByteTrack May annotation."
