action,status,kind,category,old_path,new_path,reason
move_later_high_value,canonical,curated_input,two_person_2026-05-14,bags/datasets/2026-05-14__10-59-01__dataset__tim_v1_two_person_no_crossing_raw,artifacts/bags_organised/curated_inputs/two_person_2026-05-14/2026-05-14__10-59-01__dataset__tim_v1_two_person_no_crossing_raw,"canonical bag, should become part of clean thesis dataset"
move_later_high_value,canonical,curated_input,hard_reentry_2026-05-14,bags/datasets/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw,artifacts/bags_organised/curated_inputs/hard_reentry_2026-05-14/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw,"canonical bag, should become part of clean thesis dataset"
move_later_useful,useful,replay,detector_eval_matrix,bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov10n__tracker_bytetrack__tim_mars__target_1,artifacts/bags_organised/replays/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov10n__tracker_bytetrack__tim_mars__target_1,"useful generated/replay bag, keep but separate from raw captures"
move_later_useful,useful,replay,detector_eval_matrix,bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov10n__tracker_bytetrack__tim_off__target_1,artifacts/bags_organised/replays/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov10n__tracker_bytetrack__tim_off__target_1,"useful generated/replay bag, keep but separate from raw captures"
move_later_useful,useful,replay,detector_eval_matrix,bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov11n__tracker_bytetrack__tim_mars__target_1,artifacts/bags_organised/replays/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov11n__tracker_bytetrack__tim_mars__target_1,"useful generated/replay bag, keep but separate from raw captures"
move_later_useful,useful,replay,detector_eval_matrix,bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov11n__tracker_bytetrack__tim_off__target_1,artifacts/bags_organised/replays/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov11n__tracker_bytetrack__tim_off__target_1,"useful generated/replay bag, keep but separate from raw captures"
move_later_useful,useful,replay,detector_eval_matrix,bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov6n__tracker_bytetrack__tim_mars__target_1,artifacts/bags_organised/replays/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov6n__tracker_bytetrack__tim_mars__target_1,"useful generated/replay bag, keep but separate from raw captures"
move_later_useful,useful,replay,detector_eval_matrix,bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov6n__tracker_bytetrack__tim_off__target_1,artifacts/bags_organised/replays/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov6n__tracker_bytetrack__tim_off__target_1,"useful generated/replay bag, keep but separate from raw captures"
move_later_useful,useful,replay,detector_eval_matrix,bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov8n__tracker_bytetrack__tim_mars__target_1,artifacts/bags_organised/replays/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov8n__tracker_bytetrack__tim_mars__target_1,"useful generated/replay bag, keep but separate from raw captures"
move_later_useful,useful,replay,detector_eval_matrix,bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov8n__tracker_bytetrack__tim_off__target_1,artifacts/bags_organised/replays/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov8n__tracker_bytetrack__tim_off__target_1,"useful generated/replay bag, keep but separate from raw captures"
