status,source_kind,category,sequence,old_path,new_path,exists
canonical,curated_input,two_person_2026-05-14,two_person,artifacts/bags/datasets/2026-05-14__10-59-01__dataset__tim_v1_two_person_no_crossing_raw,artifacts/bags/originals/lab_old/curated_inputs/two_person_2026-05-14/2026-05-14__10-59-01__dataset__tim_v1_two_person_no_crossing_raw,True
canonical,curated_input,hard_reentry_2026-05-14,hard_reentry,artifacts/bags/datasets/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw,artifacts/bags/originals/lab_old/curated_inputs/hard_reentry_2026-05-14/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw,True
useful,replay,detector_eval_matrix,hard_reentry,artifacts/bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov10n__tracker_bytetrack__tim_mars__target_1,artifacts/bags/derived/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov10n__tracker_bytetrack__tim_mars__target_1,True
useful,replay,detector_eval_matrix,hard_reentry,artifacts/bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov10n__tracker_bytetrack__tim_off__target_1,artifacts/bags/derived/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov10n__tracker_bytetrack__tim_off__target_1,True
useful,replay,detector_eval_matrix,hard_reentry,artifacts/bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov11n__tracker_bytetrack__tim_mars__target_1,artifacts/bags/derived/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov11n__tracker_bytetrack__tim_mars__target_1,True
useful,replay,detector_eval_matrix,hard_reentry,artifacts/bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov11n__tracker_bytetrack__tim_off__target_1,artifacts/bags/derived/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov11n__tracker_bytetrack__tim_off__target_1,True
useful,replay,detector_eval_matrix,hard_reentry,artifacts/bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov6n__tracker_bytetrack__tim_mars__target_1,artifacts/bags/derived/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov6n__tracker_bytetrack__tim_mars__target_1,True
useful,replay,detector_eval_matrix,hard_reentry,artifacts/bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov6n__tracker_bytetrack__tim_off__target_1,artifacts/bags/derived/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov6n__tracker_bytetrack__tim_off__target_1,True
useful,replay,detector_eval_matrix,hard_reentry,artifacts/bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov8n__tracker_bytetrack__tim_mars__target_1,artifacts/bags/derived/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov8n__tracker_bytetrack__tim_mars__target_1,True
useful,replay,detector_eval_matrix,hard_reentry,artifacts/bags/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov8n__tracker_bytetrack__tim_off__target_1,artifacts/bags/derived/detector_eval_matrix/2026-05-14__11-03-26__dataset__tim_v1_hard_reentry_id_switch_raw__detector_yolov8n__tracker_bytetrack__tim_off__target_1,True
