order,dimension_id,config_id,tim_wrong_s,tim_lost_s,tim_wrong_ratio,tim_lost_ratio,delta_wrong_s_vs_baseline,delta_lost_s_vs_baseline
0,canonical,baseline,6.153,51.688,0.018,0.1509,0.0,0.0
1,acceptance_pair,acceptance_pair_lower_2,6.153,51.688,0.018,0.1509,0.0,0.0
2,acceptance_pair,acceptance_pair_lower_1,6.153,51.688,0.018,0.1509,0.0,0.0
3,acceptance_pair,acceptance_pair_higher_1,6.153,51.688,0.018,0.1509,0.0,0.0
4,acceptance_pair,acceptance_pair_higher_2,6.153,51.688,0.018,0.1509,0.0,0.0
5,ambiguity_margin,ambiguity_margin_lower_2,6.403,51.438,0.0187,0.1501,0.25,-0.25
6,ambiguity_margin,ambiguity_margin_lower_1,6.403,51.438,0.0187,0.1501,0.25,-0.25
7,ambiguity_margin,ambiguity_margin_higher_1,5.859,51.982,0.0171,0.1517,-0.294,0.294
8,ambiguity_margin,ambiguity_margin_higher_2,4.909,52.932,0.0143,0.1545,-1.244,1.244
9,appearance_conservative_min_similarity,appearance_conservative_min_similarity_lower_2,6.153,51.688,0.018,0.1509,0.0,0.0
10,appearance_conservative_min_similarity,appearance_conservative_min_similarity_lower_1,6.153,51.688,0.018,0.1509,0.0,0.0
11,appearance_conservative_min_similarity,appearance_conservative_min_similarity_higher_1,6.153,51.688,0.018,0.1509,0.0,0.0
12,appearance_conservative_min_similarity,appearance_conservative_min_similarity_higher_2,6.153,51.688,0.018,0.1509,0.0,0.0
13,appearance_conservative_margin,appearance_conservative_margin_lower_2,6.153,50.888,0.018,0.1485,0.0,-0.8
14,appearance_conservative_margin,appearance_conservative_margin_lower_1,6.153,50.888,0.018,0.1485,0.0,-0.8
15,appearance_conservative_margin,appearance_conservative_margin_higher_1,6.153,52.238,0.018,0.1525,0.0,0.55
16,appearance_conservative_margin,appearance_conservative_margin_higher_2,6.153,53.288,0.018,0.1555,0.0,1.6
17,hard_negative_reject_similarity,hard_negative_reject_similarity_lower_2,6.153,51.688,0.018,0.1509,0.0,0.0
18,hard_negative_reject_similarity,hard_negative_reject_similarity_lower_1,6.153,51.688,0.018,0.1509,0.0,0.0
19,hard_negative_reject_similarity,hard_negative_reject_similarity_higher_1,6.153,51.688,0.018,0.1509,0.0,0.0
20,hard_negative_reject_similarity,hard_negative_reject_similarity_higher_2,6.153,51.688,0.018,0.1509,0.0,0.0
21,hard_negative_reject_margin,hard_negative_reject_margin_lower_2,6.153,51.688,0.018,0.1509,0.0,0.0
22,hard_negative_reject_margin,hard_negative_reject_margin_lower_1,6.153,51.688,0.018,0.1509,0.0,0.0
23,hard_negative_reject_margin,hard_negative_reject_margin_higher_1,6.153,51.688,0.018,0.1509,0.0,0.0
24,hard_negative_reject_margin,hard_negative_reject_margin_higher_2,6.153,51.688,0.018,0.1509,0.0,0.0
25,confirmation_time,confirmation_time_lower_1,6.303,49.688,0.0184,0.145,0.15,-2.0
26,confirmation_time,confirmation_time_higher_1,5.953,53.638,0.0174,0.1566,-0.2,1.95
27,confirmation_time,confirmation_time_higher_2,5.942,54.949,0.0173,0.1604,-0.211,3.261
28,confirmation_time,confirmation_time_higher_3,5.892,57.299,0.0172,0.1673,-0.261,5.611
