config_id,dimension_id,order,overrides,raw_correct_s,raw_wrong_s,raw_lost_s,raw_wrong_ratio,raw_lost_ratio,tim_correct_s,tim_wrong_s,tim_lost_s,tim_absent_valid_s,tim_no_selection_s,tim_correct_ratio,tim_wrong_ratio,tim_lost_ratio,tim_wrong_burst_count_sum,recovery_attempt_count_sum,total_memory_contamination_count_sum,delta_wrong_s_vs_baseline,delta_lost_s_vs_baseline,delta_correct_s_vs_baseline
baseline,,0,{},112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
acceptance_pair_lower_2,acceptance_pair,1,"{""accept_score_locked"": 0.42, ""accept_score_lost"": 0.5}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
acceptance_pair_lower_1,acceptance_pair,2,"{""accept_score_locked"": 0.47, ""accept_score_lost"": 0.55}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
acceptance_pair_higher_1,acceptance_pair,3,"{""accept_score_locked"": 0.57, ""accept_score_lost"": 0.65}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
acceptance_pair_higher_2,acceptance_pair,4,"{""accept_score_locked"": 0.62, ""accept_score_lost"": 0.7}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,185,121,0.0,0.0,0.0
ambiguity_margin_lower_2,ambiguity_margin,5,"{""ambiguity_margin"": 0.03}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.403,51.438,0.0,0.0,0.8312,0.0187,0.1501,10,185,126,0.25,-0.25,0.0
ambiguity_margin_lower_1,ambiguity_margin,6,"{""ambiguity_margin"": 0.05}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.403,51.438,0.0,0.0,0.8312,0.0187,0.1501,10,185,126,0.25,-0.25,0.0
ambiguity_margin_higher_1,ambiguity_margin,7,"{""ambiguity_margin"": 0.09}",112.283,62.647,167.659,0.1829,0.4894,284.748,5.859,51.982,0.0,0.0,0.8312,0.0171,0.1517,9,184,115,-0.294,0.294,0.0
ambiguity_margin_higher_2,ambiguity_margin,8,"{""ambiguity_margin"": 0.11}",112.283,62.647,167.659,0.1829,0.4894,284.748,4.909,52.932,0.0,0.0,0.8312,0.0143,0.1545,8,180,100,-1.244,1.244,0.0
appearance_conservative_min_similarity_lower_2,appearance_conservative_min_similarity,9,"{""appearance_conservative_min_similarity"": 0.55}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
appearance_conservative_min_similarity_lower_1,appearance_conservative_min_similarity,10,"{""appearance_conservative_min_similarity"": 0.6}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
appearance_conservative_min_similarity_higher_1,appearance_conservative_min_similarity,11,"{""appearance_conservative_min_similarity"": 0.7}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
appearance_conservative_min_similarity_higher_2,appearance_conservative_min_similarity,12,"{""appearance_conservative_min_similarity"": 0.75}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
