architecture_id,sequence_id,status,correct_s,wrong_s,lost_s,absent_valid_s,no_selection_s,wrong_burst_count,wrong_handover_count,longest_wrong_burst_s,recovery_attempt_count,correct_candidate_suppressed_duration_s,note
bytetrack_raw,dev_may_hard_reentry,available,38.283,7.927,21.49,0.0,0.0,6,0,3.8400000000000034,,,
bytetrack_tim,dev_may_hard_reentry,available,62.513,0.1,5.087,0.0,0.0,1,0,0.09999999999999432,18,2.8669999999999933,
sort_raw,dev_may_hard_reentry,available,29.286,0.0,37.032,0.15,0.0,0,0,0.0,,,
sort_tim,dev_may_hard_reentry,no_safe_configuration_found,,15.331,6.919,,,,,,,,"closest candidate confirmation_time_higher_3; does not pass the asymmetric safety gate, not promoted"
deepsort_raw,dev_may_hard_reentry,available,18.678,32.087,17.1,0.0,0.0,37,0,3.1500000000000057,,,
deepsort_tim,dev_may_hard_reentry,available,16.178,26.734,24.953,0.0,0.0,36,0,2.8500000000000085,74,4.0,
bytetrack_raw,dev_june_seq01,available,55.55,0.0,66.79,0.0,0.0,0,0,0.0,,,
bytetrack_tim,dev_june_seq01,available,108.75,0.0,13.59,0.0,0.0,0,0,0.0,0,0,
sort_raw,dev_june_seq01,pending_annotation,,,,,,,,,,,
sort_tim,dev_june_seq01,pending_annotation,,,,,,,,,,,
deepsort_raw,dev_june_seq01,pending_annotation,,,,,,,,,,,
deepsort_tim,dev_june_seq01,pending_annotation,,,,,,,,,,,
bytetrack_raw,dev_june_seq03,available,12.457,54.02,29.25,0.0,0.0,24,0,7.372,,,
bytetrack_tim,dev_june_seq03,available,73.892,6.053,15.782,0.0,0.0,9,0,1.3499999999999943,77,5.831000000000003,
sort_raw,dev_june_seq03,pending_annotation,,,,,,,,,,,
sort_tim,dev_june_seq03,pending_annotation,,,,,,,,,,,
deepsort_raw,dev_june_seq03,pending_annotation,,,,,,,,,,,
deepsort_tim,dev_june_seq03,pending_annotation,,,,,,,,,,,
bytetrack_raw,dev_june_seq04,available,5.993,0.7,50.129,0.0,0.0,3,0,0.5,,,
bytetrack_tim,dev_june_seq04,available,39.593,0.0,17.229,0.0,0.0,0,0,0.0,89,3.553999999999998,
sort_raw,dev_june_seq04,pending_annotation,,,,,,,,,,,
sort_tim,dev_june_seq04,pending_annotation,,,,,,,,,,,
deepsort_raw,dev_june_seq04,pending_annotation,,,,,,,,,,,
deepsort_tim,dev_june_seq04,pending_annotation,,,,,,,,,,,
