cell_id,config_id,sequence_id,repeat_index,config_sha256,bootstrap_track_id,bootstrap_iou,tracker_generated_digest,tim_generated_digest
dev_june_seq01__canonical_baseline,canonical_baseline,dev_june_seq01,,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,1,0.935017,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__canonical_baseline_r1,canonical_baseline,dev_june_seq01,1,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,1,0.935017,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__canonical_baseline_r2,canonical_baseline,dev_june_seq01,2,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,1,0.935017,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__match_thresh_higher_1,match_thresh_higher_1,dev_june_seq01,,41175638b72bb737a5e3bb4665a9f5134de0b0d7beea8ed1e7969352302dca10,1,0.935017,d1e2a60aae5b124e528d9e271cb57efc63dff769448c086632206fd9a22ca7f5,92ba2b8d85f45644258163bf9d07691ad10df94c49455998e7cd7cef30c848f4
dev_june_seq01__match_thresh_lower_1,match_thresh_lower_1,dev_june_seq01,,d9921fe642152ff2fbf0433b8d1b2c10f24acdea861b3722e2ea986e0589ccd9,1,0.935017,66daf352c3ac626c8161af13576e4430f477a9f85795d18b0d18bd60e302e996,7537d352dab0a6395ba53ed04ba02137031c9d23fd39e89683cd0678a596cef4
dev_june_seq01__track_buffer_higher_1,track_buffer_higher_1,dev_june_seq01,,956f8f19ccf81922fceaedc5a1fd6a7c125fdd0376aa2eb66bc0ea87b6dec17f,1,0.935017,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__track_buffer_lower_1,track_buffer_lower_1,dev_june_seq01,,49193a10c4ac728060cb717ef0e730f1723dd48bd0dfa3ab9876f1f280f1c9e3,1,0.935017,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__track_thresh_higher_1,track_thresh_higher_1,dev_june_seq01,,0ad50708516d1d632a211aac28ca683dbbbf51564ee63b5addd8c3882d59e31e,1,0.935017,97fa2b3c4c0207436de23bfbca65987c93eec26a60fa64c0bce28fd325cca6a6,c86b3ed1518e20498b542c9bc4d7c1494efd3c6a741e9640c3f165afb20b7a26
dev_june_seq01__track_thresh_lower_1,track_thresh_lower_1,dev_june_seq01,,b70053a13f97158225f45bd76317f3b02690c923a4a4e6e9a5b177a1f381b00f,1,0.935017,bddf4ca0137ff7aa042ebfaaf15843e65b407989b987ab816f347c410f4a7378,c9dbf819c187b0a0e449bf1be2e8f11d88e6faab1da007b86bb7829ac5682dcb
dev_june_seq03__canonical_baseline,canonical_baseline,dev_june_seq03,,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,1,0.924555,854aad006ce460afa88a55b0a52b43d279a2e84434a5c90021143ddfc03e366b,e59890a632546268b6876e53e16185ddbd2eeea31f723d91b6ce5ca72a7e829a
dev_june_seq03__canonical_baseline_r1,canonical_baseline,dev_june_seq03,1,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,1,0.924555,854aad006ce460afa88a55b0a52b43d279a2e84434a5c90021143ddfc03e366b,e59890a632546268b6876e53e16185ddbd2eeea31f723d91b6ce5ca72a7e829a
dev_june_seq03__canonical_baseline_r2,canonical_baseline,dev_june_seq03,2,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,1,0.924555,854aad006ce460afa88a55b0a52b43d279a2e84434a5c90021143ddfc03e366b,e59890a632546268b6876e53e16185ddbd2eeea31f723d91b6ce5ca72a7e829a
dev_june_seq03__match_thresh_higher_1,match_thresh_higher_1,dev_june_seq03,,41175638b72bb737a5e3bb4665a9f5134de0b0d7beea8ed1e7969352302dca10,1,0.924555,c86c6bc32e6934a4d4ab6f70887cb5d5f91cc79b45686317057e2eae9b4a01df,a25bc04beb7afd642337d2f9ff7e61ef8a20f07714edf7dbafa82e848aa81b7e
dev_june_seq03__match_thresh_lower_1,match_thresh_lower_1,dev_june_seq03,,d9921fe642152ff2fbf0433b8d1b2c10f24acdea861b3722e2ea986e0589ccd9,1,0.924555,3060da794717180600a893a857384074790c84d7623f71a3591afea8cc9584b3,4d28a1432873f75dd1641282e45e32e91e22069692ef18a670664af8370fb3ca
dev_june_seq03__track_buffer_higher_1,track_buffer_higher_1,dev_june_seq03,,956f8f19ccf81922fceaedc5a1fd6a7c125fdd0376aa2eb66bc0ea87b6dec17f,1,0.924555,7240ce9da3fb18718438735e6595535b2e91c53be21698b85ffc80fdf59f3337,5c5a5a8ad7c2811234fa2b996093d4a6abe55fea2c5d57fcff37c9fc5e542e32
dev_june_seq03__track_buffer_lower_1,track_buffer_lower_1,dev_june_seq03,,49193a10c4ac728060cb717ef0e730f1723dd48bd0dfa3ab9876f1f280f1c9e3,1,0.924555,7ff409dd619497f070d931d859a3f8d7f4dd9a56e59f1daadc5fd682d7e64e64,239a62b50e25260706eda826ba65645c406c3eeccc161ca6abed4d3db2dddb7c
dev_june_seq03__track_thresh_higher_1,track_thresh_higher_1,dev_june_seq03,,0ad50708516d1d632a211aac28ca683dbbbf51564ee63b5addd8c3882d59e31e,1,0.924555,ebced5420e5683fded35bb6b44e2e1b5be2cf3159b38a0917c420539e7dfa199,021dc4e94acaa25c2353015ad935ebcadc4cba43e4d41afe49d6b2e49ce10116
dev_june_seq03__track_thresh_lower_1,track_thresh_lower_1,dev_june_seq03,,b70053a13f97158225f45bd76317f3b02690c923a4a4e6e9a5b177a1f381b00f,1,0.924555,7ec995198c1f400d27c589d3e6cdd37752033cf710540cbced7837338937595a,4b1745b685dc62a3f0a1e5de8727286a1ac9698899d22fa623f86905232bea07
dev_june_seq04__canonical_baseline,canonical_baseline,dev_june_seq04,,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,5,0.890535,c4dbc145784b439d17edde5f5b3c7595d894eb663988115ca8be5d1b83501349,ca68ef6517266d8e8a8f098cba626380caafbc2d56202ed6583903222c112f00
dev_june_seq04__canonical_baseline_r1,canonical_baseline,dev_june_seq04,1,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,5,0.890535,c4dbc145784b439d17edde5f5b3c7595d894eb663988115ca8be5d1b83501349,ca68ef6517266d8e8a8f098cba626380caafbc2d56202ed6583903222c112f00
dev_june_seq04__canonical_baseline_r2,canonical_baseline,dev_june_seq04,2,e0e5c7c80a2f2b74cb6640e2ea90d9651c33f193c34365dc0d5a7ac9badaa906,5,0.890535,c4dbc145784b439d17edde5f5b3c7595d894eb663988115ca8be5d1b83501349,ca68ef6517266d8e8a8f098cba626380caafbc2d56202ed6583903222c112f00
dev_june_seq04__match_thresh_higher_1,match_thresh_higher_1,dev_june_seq04,,41175638b72bb737a5e3bb4665a9f5134de0b0d7beea8ed1e7969352302dca10,5,0.890535,bfa7e3d78fe2899f252afbc112757c38d9721ed7e655ac0f65ac8ce4c6fe435f,dcae76aad02bcec0d9b05c40c7778ccbd1a5914a0bfa7dbe8e1ee2f03e8d4a1b
dev_june_seq04__match_thresh_lower_1,match_thresh_lower_1,dev_june_seq04,,d9921fe642152ff2fbf0433b8d1b2c10f24acdea861b3722e2ea986e0589ccd9,5,0.890535,b4c783fdb86c8caf95c96533eb3efe3704efa8693dd8ee50561fc470dfe06ff1,2a4ed4ebe6a618bb3627e1bee4e93b3526e763ebb56878b1497f12ff3fe05517
dev_june_seq04__track_buffer_higher_1,track_buffer_higher_1,dev_june_seq04,,956f8f19ccf81922fceaedc5a1fd6a7c125fdd0376aa2eb66bc0ea87b6dec17f,5,0.890535,ff87352b68a7eb16f8c16277cf2604a1d4897455419d3d7fe42eb55114dd7676,690293736577647e37bd43215113162e618ffca1e39dad6bb10f67feae98863f
