cell_id,sequence_id,config_id,repeat_index,status,duration_s,tracker_digest,tim_digest
dev_june_seq01__canonical_baseline,dev_june_seq01,canonical_baseline,,ok,122.74,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__canonical_baseline_r1,dev_june_seq01,canonical_baseline,1,ok,119.95,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__canonical_baseline_r2,dev_june_seq01,canonical_baseline,2,ok,127.74,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__match_thresh_higher_1,dev_june_seq01,match_thresh_higher_1,,ok,97.22,d1e2a60aae5b124e528d9e271cb57efc63dff769448c086632206fd9a22ca7f5,92ba2b8d85f45644258163bf9d07691ad10df94c49455998e7cd7cef30c848f4
dev_june_seq01__match_thresh_lower_1,dev_june_seq01,match_thresh_lower_1,,ok,95.68,66daf352c3ac626c8161af13576e4430f477a9f85795d18b0d18bd60e302e996,7537d352dab0a6395ba53ed04ba02137031c9d23fd39e89683cd0678a596cef4
dev_june_seq01__track_buffer_higher_1,dev_june_seq01,track_buffer_higher_1,,ok,82.91,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__track_buffer_lower_1,dev_june_seq01,track_buffer_lower_1,,ok,99.6,74dc0b72534c6952459d722edde315a8ec41816067201d81e0677d5b5144feb6,058a0dea466781d7558e82ddf9d708d4d633839cdb4d8e214ecc22a4e9248d29
dev_june_seq01__track_thresh_higher_1,dev_june_seq01,track_thresh_higher_1,,ok,66.14,97fa2b3c4c0207436de23bfbca65987c93eec26a60fa64c0bce28fd325cca6a6,c86b3ed1518e20498b542c9bc4d7c1494efd3c6a741e9640c3f165afb20b7a26
dev_june_seq01__track_thresh_lower_1,dev_june_seq01,track_thresh_lower_1,,ok,91.02,bddf4ca0137ff7aa042ebfaaf15843e65b407989b987ab816f347c410f4a7378,c9dbf819c187b0a0e449bf1be2e8f11d88e6faab1da007b86bb7829ac5682dcb
dev_june_seq03__canonical_baseline,dev_june_seq03,canonical_baseline,,ok,171.52,854aad006ce460afa88a55b0a52b43d279a2e84434a5c90021143ddfc03e366b,e59890a632546268b6876e53e16185ddbd2eeea31f723d91b6ce5ca72a7e829a
dev_june_seq03__canonical_baseline_r1,dev_june_seq03,canonical_baseline,1,ok,211.92,854aad006ce460afa88a55b0a52b43d279a2e84434a5c90021143ddfc03e366b,e59890a632546268b6876e53e16185ddbd2eeea31f723d91b6ce5ca72a7e829a
dev_june_seq03__canonical_baseline_r2,dev_june_seq03,canonical_baseline,2,ok,178.93,854aad006ce460afa88a55b0a52b43d279a2e84434a5c90021143ddfc03e366b,e59890a632546268b6876e53e16185ddbd2eeea31f723d91b6ce5ca72a7e829a
dev_june_seq03__match_thresh_higher_1,dev_june_seq03,match_thresh_higher_1,,ok,128.4,c86c6bc32e6934a4d4ab6f70887cb5d5f91cc79b45686317057e2eae9b4a01df,a25bc04beb7afd642337d2f9ff7e61ef8a20f07714edf7dbafa82e848aa81b7e
dev_june_seq03__match_thresh_lower_1,dev_june_seq03,match_thresh_lower_1,,ok,157.72,3060da794717180600a893a857384074790c84d7623f71a3591afea8cc9584b3,4d28a1432873f75dd1641282e45e32e91e22069692ef18a670664af8370fb3ca
dev_june_seq03__track_buffer_higher_1,dev_june_seq03,track_buffer_higher_1,,ok,149.66,7240ce9da3fb18718438735e6595535b2e91c53be21698b85ffc80fdf59f3337,5c5a5a8ad7c2811234fa2b996093d4a6abe55fea2c5d57fcff37c9fc5e542e32
dev_june_seq03__track_buffer_lower_1,dev_june_seq03,track_buffer_lower_1,,ok,109.12,7ff409dd619497f070d931d859a3f8d7f4dd9a56e59f1daadc5fd682d7e64e64,239a62b50e25260706eda826ba65645c406c3eeccc161ca6abed4d3db2dddb7c
dev_june_seq03__track_thresh_higher_1,dev_june_seq03,track_thresh_higher_1,,ok,124.61,ebced5420e5683fded35bb6b44e2e1b5be2cf3159b38a0917c420539e7dfa199,021dc4e94acaa25c2353015ad935ebcadc4cba43e4d41afe49d6b2e49ce10116
dev_june_seq03__track_thresh_lower_1,dev_june_seq03,track_thresh_lower_1,,ok,124.98,7ec995198c1f400d27c589d3e6cdd37752033cf710540cbced7837338937595a,4b1745b685dc62a3f0a1e5de8727286a1ac9698899d22fa623f86905232bea07
dev_june_seq04__canonical_baseline,dev_june_seq04,canonical_baseline,,ok,160.72,c4dbc145784b439d17edde5f5b3c7595d894eb663988115ca8be5d1b83501349,ca68ef6517266d8e8a8f098cba626380caafbc2d56202ed6583903222c112f00
dev_june_seq04__canonical_baseline_r1,dev_june_seq04,canonical_baseline,1,ok,188.77,c4dbc145784b439d17edde5f5b3c7595d894eb663988115ca8be5d1b83501349,ca68ef6517266d8e8a8f098cba626380caafbc2d56202ed6583903222c112f00
dev_june_seq04__canonical_baseline_r2,dev_june_seq04,canonical_baseline,2,ok,213.26,c4dbc145784b439d17edde5f5b3c7595d894eb663988115ca8be5d1b83501349,ca68ef6517266d8e8a8f098cba626380caafbc2d56202ed6583903222c112f00
dev_june_seq04__match_thresh_higher_1,dev_june_seq04,match_thresh_higher_1,,ok,210.75,bfa7e3d78fe2899f252afbc112757c38d9721ed7e655ac0f65ac8ce4c6fe435f,dcae76aad02bcec0d9b05c40c7778ccbd1a5914a0bfa7dbe8e1ee2f03e8d4a1b
dev_june_seq04__match_thresh_lower_1,dev_june_seq04,match_thresh_lower_1,,ok,173.6,b4c783fdb86c8caf95c96533eb3efe3704efa8693dd8ee50561fc470dfe06ff1,2a4ed4ebe6a618bb3627e1bee4e93b3526e763ebb56878b1497f12ff3fe05517
dev_june_seq04__track_buffer_higher_1,dev_june_seq04,track_buffer_higher_1,,ok,198.23,ff87352b68a7eb16f8c16277cf2604a1d4897455419d3d7fe42eb55114dd7676,690293736577647e37bd43215113162e618ffca1e39dad6bb10f67feae98863f
dev_june_seq04__track_buffer_lower_1,dev_june_seq04,track_buffer_lower_1,,ok,209.2,a28f037caffef0f1f67d75762d4852d783e201165755acc75cb40bcdf2f341cb,317eec9cb508ada5a541d0259f220dbed3c40ef1aa95d0f71d3b05fd24012201
dev_june_seq04__track_thresh_higher_1,dev_june_seq04,track_thresh_higher_1,,ok,164.44,50c2ea70b6456af001d717ee72a0be395640a92b42e73e82e8b7a41e60305c89,c2af9e469656a20fd91ce53f5006138a9d7dd25c427d7ceea52e33e752b570e8
dev_june_seq04__track_thresh_lower_1,dev_june_seq04,track_thresh_lower_1,,ok,151.71,8578449293cd0ebde047727e6e867883065bd96279e7e20f94e896b85d344b44,96e5ab0a979c020ebfe4f06bfd903e446d0efee520eb4039e116bb514806d6a7
dev_may_hard_reentry__canonical_baseline,dev_may_hard_reentry,canonical_baseline,,ok,64.5,a0ac43a539fb52d4fd338906a9de67d839d78cb537dfd83351c28f029895e207,b803517043d1bac985f136e0ed852c401bd1cb42223674fa20fdf29a6bdd1f0e
dev_may_hard_reentry__canonical_baseline_r1,dev_may_hard_reentry,canonical_baseline,1,ok,125.62,a0ac43a539fb52d4fd338906a9de67d839d78cb537dfd83351c28f029895e207,b803517043d1bac985f136e0ed852c401bd1cb42223674fa20fdf29a6bdd1f0e
dev_may_hard_reentry__canonical_baseline_r2,dev_may_hard_reentry,canonical_baseline,2,ok,113.84,a0ac43a539fb52d4fd338906a9de67d839d78cb537dfd83351c28f029895e207,b803517043d1bac985f136e0ed852c401bd1cb42223674fa20fdf29a6bdd1f0e
dev_may_hard_reentry__match_thresh_higher_1,dev_may_hard_reentry,match_thresh_higher_1,,ok,74.28,034f4f37e74b837d8492945b2426af58d1c4d91b1b36ff36c70c376b06f8f026,24899f014f3720bfcb22528f27b1c74da1318e1f68f64516d2afca2362a92428
dev_may_hard_reentry__match_thresh_lower_1,dev_may_hard_reentry,match_thresh_lower_1,,ok,70.29,fdb8fd23d0cb40918934cf5d20be358f19ddf7f1c551814596ad15dc2174651c,c795cf3e203fd1f668ca3059762eefc4fe85b7eb1d54747b552c90e2b22b8e1b
dev_may_hard_reentry__track_buffer_higher_1,dev_may_hard_reentry,track_buffer_higher_1,,ok,61.27,8291f07dc908cba0ee33a64961778c3dd43051a0af89d1300fb3cd081f211b6c,36d1e4ae3e91156cbac9fc0b51a14fce0adbd5373a76e259f391f91648c33b6c
dev_may_hard_reentry__track_buffer_lower_1,dev_may_hard_reentry,track_buffer_lower_1,,ok,55.25,744e1fbdd2aea723925e5de32b0819daef7c677b269d29e15024410b5387cc72,a794bf01991ea036eaf56c1b0c5ca10bdbb5217db369d1f0c41ca32ec29fbb19
dev_may_hard_reentry__track_thresh_higher_1,dev_may_hard_reentry,track_thresh_higher_1,,ok,63.48,793b84fd92240c45c27f6fa4c049ff72c8daec7d9055f3a851b893dba476d56c,be4d760e3bb6a092f2d36093f0b9b7167382b87ef5e58c79a0bcb790541378ca
dev_may_hard_reentry__track_thresh_lower_1,dev_may_hard_reentry,track_thresh_lower_1,,ok,49.51,9be06b8a4ecaf6cb5d84b433653b0bb2f2b16aa230f1f9da76b4f776a7ffe844,aa6ba0dfb34856fc4b9af2bb94e4aadd4d7f211f5a24cc1a2662f0b11dcb4804
