config_id,overrides,sequence_id,baseline_correct_s,candidate_correct_s,delta_correct_s,baseline_wrong_s,candidate_wrong_s,delta_wrong_s,baseline_lost_s,candidate_lost_s,delta_lost_s,delta_absent_with_output_s,candidate_bootstrap_id,candidate_bootstrap_iou,verdict,reason
track_thresh_lower_1,{"track_thresh": 0.4},dev_may_hard_reentry,63.08984382900126,63.08984382900126,0.0,0.1329063179997796,0.1329063179997796,0.0,4.642159626998957,4.642159626998957,0.0,0.0,1,0.947474,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_thresh_lower_1,{"track_thresh": 0.4},dev_june_seq01,61.200516816,61.200516816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.935017,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_thresh_lower_1,{"track_thresh": 0.4},dev_june_seq03,25.06744324399999,25.06744324399999,0.0,0.1333494249999987,0.0,-0.1333494249999987,58.56600511400001,58.69935453900001,0.1333494249999987,0.0,1,0.924555,neutral,within evaluator precision (dcorrect +0.000 s, dwrong -0.133 s)
track_thresh_lower_1,{"track_thresh": 0.4},dev_june_seq04,43.46929958499997,43.66861913999999,0.19931955500001663,0.0,0.0,0.0,29.03074218700003,28.831422632000013,-0.19931955500001663,0.0,5,0.890535,neutral,within evaluator precision (dcorrect +0.199 s, dwrong +0.000 s)
track_thresh_higher_1,{"track_thresh": 0.6},dev_may_hard_reentry,63.08984382900126,63.71018168700105,0.620337857999786,0.1329063179997796,0.5840850149990295,0.45117869699924995,4.642159626998957,3.570643071999921,-1.071516554999036,0.0,1,0.947474,unsafe_regression,increases wrong-target authority by +0.451 s
track_thresh_higher_1,{"track_thresh": 0.6},dev_june_seq01,61.200516816,61.200516816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.935017,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_thresh_higher_1,{"track_thresh": 0.6},dev_june_seq03,25.06744324399999,25.06744324399999,0.0,0.1333494249999987,0.1333494249999987,0.0,58.56600511400001,58.56600511400001,0.0,0.0,1,0.924555,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_thresh_higher_1,{"track_thresh": 0.6},dev_june_seq04,43.46929958499997,43.834131785000245,0.36483220000027217,0.0,0.00021644499971884557,0.00021644499971884557,29.03074218700003,28.66569354200004,-0.365048644999991,0.0,5,0.890535,neutral,within evaluator precision (dcorrect +0.365 s, dwrong +0.000 s)
match_thresh_lower_1,{"match_thresh": 0.7},dev_may_hard_reentry,63.08984382900126,62.94223809400109,-0.1476057350001696,0.1329063179997796,0.1329063179997796,0.0,4.642159626998957,4.789765361999127,0.1476057350001696,0.0,1,0.947474,neutral,within evaluator precision (dcorrect -0.148 s, dwrong +0.000 s)
match_thresh_lower_1,{"match_thresh": 0.7},dev_june_seq01,61.200516816,61.200516816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.935017,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
match_thresh_lower_1,{"match_thresh": 0.7},dev_june_seq03,25.06744324399999,25.06744324399999,0.0,0.1333494249999987,0.0,-0.1333494249999987,58.56600511400001,58.69935453900001,0.1333494249999987,0.0,1,0.924555,neutral,within evaluator precision (dcorrect +0.000 s, dwrong -0.133 s)
match_thresh_lower_1,{"match_thresh": 0.7},dev_june_seq04,43.46929958499997,42.43535150999997,-1.033948075000005,0.0,0.0,0.0,29.03074218700003,30.064690262000035,1.033948075000005,0.0,5,0.890535,regressed,loses -1.034 s correct-target output
match_thresh_higher_1,{"match_thresh": 0.9},dev_may_hard_reentry,63.08984382900126,63.08984382900126,0.0,0.1329063179997796,0.1329063179997796,0.0,4.642159626998957,4.642159626998957,0.0,0.0,1,0.947474,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
match_thresh_higher_1,{"match_thresh": 0.9},dev_june_seq01,61.200516816,61.200516816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.935017,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
match_thresh_higher_1,{"match_thresh": 0.9},dev_june_seq03,25.06744324399999,25.06744324399999,0.0,0.1333494249999987,0.1333494249999987,0.0,58.56600511400001,58.56600511400001,0.0,0.0,1,0.924555,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
match_thresh_higher_1,{"match_thresh": 0.9},dev_june_seq04,43.46929958499997,43.46929958499997,0.0,0.0,0.0,0.0,29.03074218700003,29.03074218700003,0.0,0.0,5,0.890535,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_buffer_lower_1,{"track_buffer": 15},dev_may_hard_reentry,63.08984382900126,63.08984382900126,0.0,0.1329063179997796,0.1329063179997796,0.0,4.642159626998957,4.642159626998957,0.0,0.0,1,0.947474,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_buffer_lower_1,{"track_buffer": 15},dev_june_seq01,61.200516816,61.200516816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.935017,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_buffer_lower_1,{"track_buffer": 15},dev_june_seq03,25.06744324399999,25.06744324399999,0.0,0.1333494249999987,0.1333494249999987,0.0,58.56600511400001,58.56600511400001,0.0,0.0,1,0.924555,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_buffer_lower_1,{"track_buffer": 15},dev_june_seq04,43.46929958499997,43.46929958499997,0.0,0.0,0.0,0.0,29.03074218700003,29.03074218700003,0.0,0.0,5,0.890535,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_buffer_higher_1,{"track_buffer": 45},dev_may_hard_reentry,63.08984382900126,63.08984382900126,0.0,0.1329063179997796,0.1329063179997796,0.0,4.642159626998957,4.642159626998957,0.0,0.0,1,0.947474,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_buffer_higher_1,{"track_buffer": 45},dev_june_seq01,61.200516816,61.200516816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.935017,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_buffer_higher_1,{"track_buffer": 45},dev_june_seq03,25.06744324399999,25.06744324399999,0.0,0.1333494249999987,0.1333494249999987,0.0,58.56600511400001,58.56600511400001,0.0,0.0,1,0.924555,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
track_buffer_higher_1,{"track_buffer": 45},dev_june_seq04,43.46929958499997,43.46929958499997,0.0,0.0,0.0,0.0,29.03074218700003,29.03074218700003,0.0,0.0,5,0.890535,neutral,within evaluator precision (dcorrect +0.000 s, dwrong +0.000 s)
