cell_id,sequence_id,config_id,repeat_index,status,bootstrap_ok,bootstrap_track_id,bootstrap_iou,raw_correct_s,raw_wrong_s,raw_lost_s,target_id_switches,target_fragments,target_visible_coverage,tracks_matching_target_mean,false_continuation_absence_s,disappearance_delay_s
dev_june_seq01__canonical_baseline,dev_june_seq01,canonical_baseline,,ok,True,1,0.935017,61.200516816,0.0,0.0,0,1,1.0,1.0,0.0,
dev_june_seq01__match_thresh_higher_1,dev_june_seq01,match_thresh_higher_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0,1,1.0,1.0,0.0,
dev_june_seq01__match_thresh_lower_1,dev_june_seq01,match_thresh_lower_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0,1,1.0,1.0,0.0,
dev_june_seq01__track_buffer_higher_1,dev_june_seq01,track_buffer_higher_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0,1,1.0,1.0,0.0,
dev_june_seq01__track_buffer_lower_1,dev_june_seq01,track_buffer_lower_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0,1,1.0,1.0,0.0,
dev_june_seq01__track_thresh_higher_1,dev_june_seq01,track_thresh_higher_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0,1,1.0,1.0,0.0,
dev_june_seq01__track_thresh_lower_1,dev_june_seq01,track_thresh_lower_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0,1,1.0,1.0,0.0,
dev_june_seq01__canonical_baseline_r1,dev_june_seq01,canonical_baseline,1,ok,True,1,0.935017,61.200516816,0.0,0.0,0,1,1.0,1.0,0.0,
dev_june_seq01__canonical_baseline_r2,dev_june_seq01,canonical_baseline,2,ok,True,1,0.935017,61.200516816,0.0,0.0,0,1,1.0,1.0,0.0,
dev_june_seq03__canonical_baseline,dev_june_seq03,canonical_baseline,,ok,True,1,0.924555,33.83162431299999,0.1002061110000021,49.83496735900001,18,19,0.987053,1.010357,0.0,
dev_june_seq03__match_thresh_higher_1,dev_june_seq03,match_thresh_higher_1,,ok,True,1,0.924555,45.398559381,22.798352262999995,15.569886139000012,17,18,0.988607,1.012947,0.0,
dev_june_seq03__match_thresh_lower_1,dev_june_seq03,match_thresh_lower_1,,ok,True,1,0.924555,27.564887446999993,0.13331811100000124,56.06859222500001,27,28,0.979285,0.994821,0.0,
dev_june_seq03__track_buffer_higher_1,dev_june_seq03,track_buffer_higher_1,,ok,True,1,0.924555,33.83162431299999,0.1002061110000021,49.83496735900001,18,19,0.987053,1.010357,0.0,
dev_june_seq03__track_buffer_lower_1,dev_june_seq03,track_buffer_lower_1,,ok,True,1,0.924555,33.83162431299999,0.1002061110000021,49.83496735900001,18,19,0.987053,1.010357,0.0,
dev_june_seq03__track_thresh_higher_1,dev_june_seq03,track_thresh_higher_1,,ok,True,1,0.924555,27.331960371999994,0.1002061110000021,56.334631300000005,18,19,0.980839,0.997411,0.0,
