cell_id,sequence_id,config_id,repeat_index,status,bootstrap_ok,bootstrap_track_id,bootstrap_iou,correct_s,wrong_s,lost_s,absent_with_output_s,iou_weighted_mean,transitions_into_lost,transitions_into_reacquired,authority_changes
dev_june_seq01__canonical_baseline,dev_june_seq01,canonical_baseline,,ok,True,1,0.935017,61.200516816,0.0,0.0,0.0,0.8769405541044651,0,0,0
dev_june_seq01__match_thresh_higher_1,dev_june_seq01,match_thresh_higher_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0.0,0.8769405541044651,0,0,0
dev_june_seq01__match_thresh_lower_1,dev_june_seq01,match_thresh_lower_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0.0,0.8769405541044651,0,0,0
dev_june_seq01__track_buffer_higher_1,dev_june_seq01,track_buffer_higher_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0.0,0.8769405541044651,0,0,0
dev_june_seq01__track_buffer_lower_1,dev_june_seq01,track_buffer_lower_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0.0,0.8769405541044651,0,0,0
dev_june_seq01__track_thresh_higher_1,dev_june_seq01,track_thresh_higher_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0.0,0.8769405541044651,0,0,0
dev_june_seq01__track_thresh_lower_1,dev_june_seq01,track_thresh_lower_1,,ok,True,1,0.935017,61.200516816,0.0,0.0,0.0,0.8769405541044651,0,0,0
dev_june_seq01__canonical_baseline_r1,dev_june_seq01,canonical_baseline,1,ok,True,1,0.935017,61.200516816,0.0,0.0,0.0,0.8769405541044651,0,0,0
dev_june_seq01__canonical_baseline_r2,dev_june_seq01,canonical_baseline,2,ok,True,1,0.935017,61.200516816,0.0,0.0,0.0,0.8769405541044651,0,0,0
dev_june_seq03__canonical_baseline,dev_june_seq03,canonical_baseline,,ok,True,1,0.924555,25.06744324399999,0.1333494249999987,58.56600511400001,0.0,0.8697429807498436,3,3,2
dev_june_seq03__match_thresh_higher_1,dev_june_seq03,match_thresh_higher_1,,ok,True,1,0.924555,25.06744324399999,0.1333494249999987,58.56600511400001,0.0,0.8697534716354045,3,3,1
dev_june_seq03__match_thresh_lower_1,dev_june_seq03,match_thresh_lower_1,,ok,True,1,0.924555,25.06744324399999,0.0,58.69935453900001,0.0,0.8697473747210542,3,3,2
dev_june_seq03__track_buffer_higher_1,dev_june_seq03,track_buffer_higher_1,,ok,True,1,0.924555,25.06744324399999,0.1333494249999987,58.56600511400001,0.0,0.8697429807498436,3,3,2
dev_june_seq03__track_buffer_lower_1,dev_june_seq03,track_buffer_lower_1,,ok,True,1,0.924555,25.06744324399999,0.1333494249999987,58.56600511400001,0.0,0.8697429807498436,3,3,2
dev_june_seq03__track_thresh_higher_1,dev_june_seq03,track_thresh_higher_1,,ok,True,1,0.924555,25.06744324399999,0.1333494249999987,58.56600511400001,0.0,0.8697429807498436,3,3,2
dev_june_seq03__track_thresh_lower_1,dev_june_seq03,track_thresh_lower_1,,ok,True,1,0.924555,25.06744324399999,0.0,58.69935453900001,0.0,0.8697429817241731,3,3,2
dev_june_seq03__canonical_baseline_r1,dev_june_seq03,canonical_baseline,1,ok,True,1,0.924555,25.06744324399999,0.1333494249999987,58.56600511400001,0.0,0.8697429807498436,3,3,2
dev_june_seq03__canonical_baseline_r2,dev_june_seq03,canonical_baseline,2,ok,True,1,0.924555,25.06744324399999,0.1333494249999987,58.56600511400001,0.0,0.8697429807498436,3,3,2
dev_june_seq04__canonical_baseline,dev_june_seq04,canonical_baseline,,ok,True,5,0.890535,43.46929958499997,0.0,29.03074218700003,0.0,0.8176376141699887,19,20,3
