threshold	sequence	predecessor_correct_s	candidate_correct_s	correct_delta_s	predecessor_wrong_s	candidate_wrong_s	wrong_delta_s	predecessor_lost_s	candidate_lost_s	lost_delta_s	predecessor_spatial_wrong_s	candidate_spatial_wrong_s	spatial_wrong_delta_s	annotated_absent_delta_s	spatial_absent_delta_s	gate
0.95	may_hard_reentry	62.513	62.513	+0.000	0.100	0.100	+0.000	5.087	5.087	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.95	seq01_clean	108.750	108.750	+0.000	0.000	0.000	+0.000	13.590	13.590	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.95	seq03_crossing	0.000	79.398	+79.398	79.855	0.950	-78.905	15.872	15.379	-0.493	0.013	0.000	-0.013	+0.000	+0.000	PASS
0.95	seq04_occlusion	35.293	39.093	+3.800	4.250	0.250	-4.000	17.279	17.479	+0.200	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.96	may_hard_reentry	62.513	62.513	+0.000	0.100	0.100	+0.000	5.087	5.087	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.96	seq01_clean	108.750	108.750	+0.000	0.000	0.000	+0.000	13.590	13.590	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.96	seq03_crossing	0.000	79.398	+79.398	79.855	0.950	-78.905	15.872	15.379	-0.493	0.013	0.000	-0.013	+0.000	+0.000	PASS
0.96	seq04_occlusion	35.293	39.093	+3.800	4.250	0.250	-4.000	17.279	17.479	+0.200	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.97	may_hard_reentry	62.513	62.513	+0.000	0.100	0.100	+0.000	5.087	5.087	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.97	seq01_clean	108.750	108.750	+0.000	0.000	0.000	+0.000	13.590	13.590	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.97	seq03_crossing	0.000	79.398	+79.398	79.855	0.950	-78.905	15.872	15.379	-0.493	0.013	0.000	-0.013	+0.000	+0.000	PASS
0.97	seq04_occlusion	35.293	39.093	+3.800	4.250	0.250	-4.000	17.279	17.479	+0.200	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.98	may_hard_reentry	62.513	62.513	+0.000	0.100	0.100	+0.000	5.087	5.087	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.98	seq01_clean	108.750	108.750	+0.000	0.000	0.000	+0.000	13.590	13.590	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.98	seq03_crossing	0.000	79.398	+79.398	79.855	0.950	-78.905	15.872	15.379	-0.493	0.013	0.000	-0.013	+0.000	+0.000	PASS
0.98	seq04_occlusion	35.293	39.093	+3.800	4.250	0.250	-4.000	17.279	17.479	+0.200	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.99	may_hard_reentry	62.513	62.513	+0.000	0.100	0.100	+0.000	5.087	5.087	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.99	seq01_clean	108.750	108.750	+0.000	0.000	0.000	+0.000	13.590	13.590	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
0.99	seq03_crossing	0.000	79.398	+79.398	79.855	0.950	-78.905	15.872	15.379	-0.493	0.013	0.000	-0.013	+0.000	+0.000	PASS
0.99	seq04_occlusion	35.293	39.093	+3.800	4.250	0.250	-4.000	17.279	17.479	+0.200	0.000	0.000	+0.000	+0.000	+0.000	PASS
1.00	may_hard_reentry	62.513	62.513	+0.000	0.100	0.100	+0.000	5.087	5.087	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
1.00	seq01_clean	108.750	108.750	+0.000	0.000	0.000	+0.000	13.590	13.590	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
1.00	seq03_crossing	0.000	79.398	+79.398	79.855	0.950	-78.905	15.872	15.379	-0.493	0.013	0.000	-0.013	+0.000	+0.000	PASS
1.00	seq04_occlusion	35.293	39.093	+3.800	4.250	0.250	-4.000	17.279	17.479	+0.200	0.000	0.000	+0.000	+0.000	+0.000	PASS
1.01	may_hard_reentry	62.513	62.513	+0.000	0.100	0.100	+0.000	5.087	5.087	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
1.01	seq01_clean	108.750	108.750	+0.000	0.000	0.000	+0.000	13.590	13.590	+0.000	0.000	0.000	+0.000	+0.000	+0.000	PASS
1.01	seq03_crossing	0.000	79.398	+79.398	79.855	0.950	-78.905	15.872	15.379	-0.493	0.013	0.000	-0.013	+0.000	+0.000	PASS
1.01	seq04_occlusion	35.293	39.093	+3.800	4.250	0.250	-4.000	17.279	17.479	+0.200	0.000	0.000	+0.000	+0.000	+0.000	PASS
