max_age_frames	sequence	expire_event_count	expiry_age_min	expiry_age_max	committed_count_max	pending_count_max	generated_semantic_sha256
62	may_hard_reentry	1	63	63	1	1	4d110c60268fd4bb7ac17e4dcc808a5652335cf9375128169602b501c652d795
62	seq01_clean	5	63	63	2	2	eb47055062c39fcc9f5a21360ba732a412b17776fb6c62c2adc23607925fa679
62	seq03_crossing	3	63	63	2	2	19bf80a13adcfc499f2916f8e11899dabb1633bcf9f06780bfe7ec7ef198c537
62	seq04_occlusion	1	104	104	2	2	d46aa8be97accfc2f17f6b1f42bbbaca978b5fef0aae16c91030f0c9511517e6
93	may_hard_reentry	1	94	94	1	1	9a929c4639e2fe18f0b153855a1538e61b3a85355e60d6e978ddc8cd8c151449
93	seq01_clean	5	94	94	2	2	a51f616dd7b82c75fdc583b13ebb69dfb87958059615f280601d5fb50e73e7c7
93	seq03_crossing	0			2	2	9c8500c97de8786946d959c2de2c46dff88049b827d835d61e01593a1a086090
93	seq04_occlusion	1	104	104	2	2	1148eeefe42eaef782e34213e0141cc8df8e5756bbf05b2cdc6cc1ec8f25807e
247	may_hard_reentry	0			1	1	836d73cbf2a47ddbec26adcb4dc9b71765defd0685e93babfc6714287195458c
247	seq01_clean	1	248	248	2	2	55ab81da4e4b96876c84fe778effe2c357dafc24d837c9a2af92a046d92b87e9
247	seq03_crossing	0			2	2	e8f836b3cb05ffd1c7b11cd329f42a94400fbfb5160ceca33fedff1f3449f54d
247	seq04_occlusion	1	264	264	2	2	c60d5783908183d28368a3f59f833317313e05cbb7555a92f0d5d016ef2410b0
394	may_hard_reentry	0			1	1	80e0d89b3b2e21a6a0fd5e46b6450a6a107636df98c2aefe46ab02540cacf83c
394	seq01_clean	0			2	2	63f6ddd7c3958051bcd8eabf7214c05e069795836c5d00e31da40ce4b9c40c28
394	seq03_crossing	0			2	2	c0fc0fa54e7b767546f7aac72fa1db31881258ba45f44123fc1aa40bfd103000
394	seq04_occlusion	0			2	2	69dc48bbe5622c5675fbc03f04ae61b9866309aa8423c119980b6cb79f219c38
427	may_hard_reentry	0			1	1	633803cdde0d6598611f359c6755fedda565c20fc0b1c408212fad4745469f1e
427	seq01_clean	0			2	2	45092459e202900332fa4ec3a22bca8375d903c74233deac30f137a8c4d6d0a0
427	seq03_crossing	0			2	2	810d8be54dfa7fe2429d37e35109c939ca9dcf715ab4606d26c7435787b4a95c
427	seq04_occlusion	0			2	2	ead97823e310c9db82761a6b877ea78956f4d31049867627008e3ebd22ee7fb5
