path	frames_present
acceptance_memory_source	1097
all_scores	1097
all_scores[]	1097
all_scores[].adaptive_similarity	1097
all_scores[].ambiguous	1097
all_scores[].appearance	1097
all_scores[].appearance_accepted_for_publication	1097
all_scores[].appearance_available	1097
all_scores[].appearance_evaluated	1097
all_scores[].appearance_gate_passed	1097
all_scores[].appearance_raw	1097
all_scores[].appearance_similarity_passed	1097
all_scores[].appearance_used	1097
all_scores[].confidence	1097
all_scores[].distance	1097
all_scores[].geometry_allows_appearance	1097
all_scores[].geometry_score	1097
all_scores[].hard_negative_margin	1097
all_scores[].hard_negative_reject	1097
all_scores[].hard_negative_similarity	1097
all_scores[].id_bonus	1097
all_scores[].iou	1097
all_scores[].positive_similarity	1097
all_scores[].positive_support_source	1097
all_scores[].protected_anchor_similarity	1097
all_scores[].ranking_score	1097
all_scores[].scale	1097
all_scores[].total	1097
all_scores[].track_id	1097
all_scores[].trusted_gallery_similarity	1097
appearance_async_reid.last_accepted_track_id	1097
appearance_candidates	1097
appearance_crop_quality_by_track_id	1097
appearance_embedding_age_ms_by_track_id	1097
appearance_memory_update_ineligible	1097
appearance_request_candidates	1097
appearance_request_track_ids	1097
appearance_request_track_ids[]	1097
best.geometry_score	1097
best.ranking_score	1097
best.track_id	1097
candidate_score	1097
candidate_track_id	1097
candidate_track_ids	1097
candidate_track_ids[]	1097
control_mode	1097
hard_negative_memory_size	1097
image_track_offset_ms	1097
memory_update_freeze_reason	1097
memory_update_frozen	1097
num_tracks	1097
positive_memory_bootstrap_event	1097
positive_memory_update_reason	1097
positive_memory_updated	1097
selected_image_timestamp_ns	1097
state	1097
target_track_id	1097
track_timestamp_ns	1097
appearance_crop_quality_by_track_id.1	911
appearance_crop_quality_by_track_id.1.aspect_ratio	911
appearance_crop_quality_by_track_id.1.clipping_fraction	911
appearance_crop_quality_by_track_id.1.crop_height_px	911
appearance_crop_quality_by_track_id.1.crop_width_px	911
appearance_crop_quality_by_track_id.1.encoding_eligible	911
appearance_crop_quality_by_track_id.1.max_iou_with_other	911
appearance_crop_quality_by_track_id.1.memory_update_eligible	911
appearance_crop_quality_by_track_id.1.min_centre_distance_norm	911
appearance_crop_quality_by_track_id.1.rejection_reasons	911
appearance_embedding_age_ms_by_track_id.1	873
appearance_crop_quality_by_track_id.41	550
appearance_crop_quality_by_track_id.41.aspect_ratio	550
appearance_crop_quality_by_track_id.41.clipping_fraction	550
appearance_crop_quality_by_track_id.41.crop_height_px	550
appearance_crop_quality_by_track_id.41.crop_width_px	550
appearance_crop_quality_by_track_id.41.encoding_eligible	550
appearance_crop_quality_by_track_id.41.max_iou_with_other	550
appearance_crop_quality_by_track_id.41.memory_update_eligible	550
appearance_crop_quality_by_track_id.41.min_centre_distance_norm	550
appearance_crop_quality_by_track_id.41.rejection_reasons	550
appearance_crop_quality_by_track_id.2	514
appearance_crop_quality_by_track_id.2.aspect_ratio	514
appearance_crop_quality_by_track_id.2.clipping_fraction	514
appearance_crop_quality_by_track_id.2.crop_height_px	514
appearance_crop_quality_by_track_id.2.crop_width_px	514
appearance_crop_quality_by_track_id.2.encoding_eligible	514
appearance_crop_quality_by_track_id.2.max_iou_with_other	514
appearance_crop_quality_by_track_id.2.memory_update_eligible	514
appearance_crop_quality_by_track_id.2.min_centre_distance_norm	514
appearance_crop_quality_by_track_id.2.rejection_reasons	514
appearance_embedding_age_ms_by_track_id.41	445
hard_negative_entries[].appearance_frame_generation	282
hard_negative_entries[].appearance_source_crop_quality.memory_update_eligible	282
hard_negative_entries[].appearance_track_generation	282
hard_negative_entries[].latest_crop_quality.memory_update_eligible	282
hard_negative_entries[].latest_geometry_score	282
hard_negative_entries[].lifecycle_state	282
hard_negative_entries[].selected_track_ids	282
hard_negative_entries[].selected_track_ids[]	282
hard_negative_entries[].source_track_ids	282
hard_negative_entries[].source_track_ids[]	282
appearance_embedding_age_ms_by_track_id.2	276
appearance_crop_quality_by_track_id.60	156
appearance_crop_quality_by_track_id.60.aspect_ratio	156
appearance_crop_quality_by_track_id.60.clipping_fraction	156
appearance_crop_quality_by_track_id.60.crop_height_px	156
appearance_crop_quality_by_track_id.60.crop_width_px	156
appearance_crop_quality_by_track_id.60.encoding_eligible	156
appearance_crop_quality_by_track_id.60.max_iou_with_other	156
appearance_crop_quality_by_track_id.60.memory_update_eligible	156
appearance_crop_quality_by_track_id.60.min_centre_distance_norm	156
appearance_crop_quality_by_track_id.60.rejection_reasons	156
hard_negative_events[].memory_size	140
hard_negative_events[].selected_track_id	140
hard_negative_events[].selected_track_ids	140
hard_negative_events[].selected_track_ids[]	140
hard_negative_events[].source_track_id	140
hard_negative_events[].source_track_ids	140
hard_negative_events[].source_track_ids[]	140
appearance_crop_quality_by_track_id.17	119
appearance_crop_quality_by_track_id.17.aspect_ratio	119
appearance_crop_quality_by_track_id.17.clipping_fraction	119
appearance_crop_quality_by_track_id.17.crop_height_px	119
appearance_crop_quality_by_track_id.17.crop_width_px	119
appearance_crop_quality_by_track_id.17.encoding_eligible	119
appearance_crop_quality_by_track_id.17.max_iou_with_other	119
appearance_crop_quality_by_track_id.17.memory_update_eligible	119
appearance_crop_quality_by_track_id.17.min_centre_distance_norm	119
appearance_crop_quality_by_track_id.17.rejection_reasons	119
appearance_crop_quality_by_track_id.17.rejection_reasons[]	119
appearance_crop_quality_by_track_id.10	114
appearance_crop_quality_by_track_id.10.aspect_ratio	114
appearance_crop_quality_by_track_id.10.clipping_fraction	114
appearance_crop_quality_by_track_id.10.crop_height_px	114
appearance_crop_quality_by_track_id.10.crop_width_px	114
appearance_crop_quality_by_track_id.10.encoding_eligible	114
appearance_crop_quality_by_track_id.10.max_iou_with_other	114
appearance_crop_quality_by_track_id.10.memory_update_eligible	114
appearance_crop_quality_by_track_id.10.min_centre_distance_norm	114
appearance_crop_quality_by_track_id.10.rejection_reasons	114
appearance_crop_quality_by_track_id.10.rejection_reasons[]	114
appearance_crop_quality_by_track_id.46	108
appearance_crop_quality_by_track_id.46.aspect_ratio	108
appearance_crop_quality_by_track_id.46.clipping_fraction	108
appearance_crop_quality_by_track_id.46.crop_height_px	108
appearance_crop_quality_by_track_id.46.crop_width_px	108
appearance_crop_quality_by_track_id.46.encoding_eligible	108
appearance_crop_quality_by_track_id.46.max_iou_with_other	108
appearance_crop_quality_by_track_id.46.memory_update_eligible	108
appearance_crop_quality_by_track_id.46.min_centre_distance_norm	108
appearance_crop_quality_by_track_id.46.rejection_reasons	108
appearance_crop_quality_by_track_id.46.rejection_reasons[]	108
appearance_crop_quality_by_track_id.1.rejection_reasons[]	85
appearance_crop_quality_by_track_id.48	83
appearance_crop_quality_by_track_id.48.aspect_ratio	83
appearance_crop_quality_by_track_id.48.clipping_fraction	83
appearance_crop_quality_by_track_id.48.crop_height_px	83
appearance_crop_quality_by_track_id.48.crop_width_px	83
appearance_crop_quality_by_track_id.48.encoding_eligible	83
appearance_crop_quality_by_track_id.48.max_iou_with_other	83
appearance_crop_quality_by_track_id.48.memory_update_eligible	83
appearance_crop_quality_by_track_id.48.min_centre_distance_norm	83
appearance_crop_quality_by_track_id.48.rejection_reasons	83
