t,id,cx,cy,w,h,score,quality,valid
0.027744318,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.080787916,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.100243592,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.168049291,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.224718585,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.27222323,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.320865162,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.364468998,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.40087833,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.425804144,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.511313542,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.612956164,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.673154616,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.72785195,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.753461547,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.812344007,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.830581581,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.861585462,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.890461845,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.960705379,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.98829714,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.042086966,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.066540479,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.105956355,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.316373342,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.400286172,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.523030836,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.610912291,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.674536494,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.841549629,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.889296831,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.070697176,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.202190374,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.319807682,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.339040246,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.629533792,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.738043952,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.866221809,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.024076333,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.134912882,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.15670593,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.211965953,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.258594962,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.293040705,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.320577669,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.372598574,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.400243465,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.427649262,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.551449028,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.604923667,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.742535638,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.796674226,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.904060395,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.021589444,0,0.0,0.0,0.0,0.0,0.0,0.0,False
