t,state,control_mode,reason,target_track_id,visible,reacquired,quality,lat_ms,frames_since_seen,num_tracks,best_total,best_iou,best_distance,best_scale,best_confidence,best_track_id
0.029653204,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.044593,0,1,nan,nan,nan,nan,nan,
0.080806416,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.035519,0,1,nan,nan,nan,nan,nan,
0.100302167,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037186,0,1,nan,nan,nan,nan,nan,
0.17855108,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.08689,0,1,nan,nan,nan,nan,nan,
0.225231663,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.033871,0,1,nan,nan,nan,nan,nan,
0.272525788,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.063093,0,1,nan,nan,nan,nan,nan,
0.320888921,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.05226,0,1,nan,nan,nan,nan,nan,
0.364547369,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.067612,0,1,nan,nan,nan,nan,nan,
0.400909349,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036556,0,1,nan,nan,nan,nan,nan,
0.425824218,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.040574,0,1,nan,nan,nan,nan,nan,
0.511321394,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.038092,0,1,nan,nan,nan,nan,nan,
0.612981535,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.040907,0,1,nan,nan,nan,nan,nan,
0.673309136,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.100093,0,1,nan,nan,nan,nan,nan,
0.727859653,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.035019,0,1,nan,nan,nan,nan,nan,
0.753505899,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.043852,0,1,nan,nan,nan,nan,nan,
0.812351433,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.079611,0,1,nan,nan,nan,nan,nan,
0.830588396,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.054204,0,1,nan,nan,nan,nan,nan,
0.862256338,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.153335,0,1,nan,nan,nan,nan,nan,
0.890476623,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037019,0,1,nan,nan,nan,nan,nan,
0.960727471,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.041426,0,1,nan,nan,nan,nan,nan,
0.988474938,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.038223,0,1,nan,nan,nan,nan,nan,
1.042104521,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.041852,0,1,nan,nan,nan,nan,nan,
1.066599313,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037241,0,1,nan,nan,nan,nan,nan,
1.106065874,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.034185,0,1,nan,nan,nan,nan,nan,
1.316756531,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.052352,0,1,nan,nan,nan,nan,nan,
