t,id,cx,cy,w,h,score,quality,valid
0.081975555,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.100324093,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.165900422,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.220535069,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.274925511,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.317597654,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.359975609,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.393652883,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.425096138,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.512631183,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.608768538,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.663003627,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.727807098,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.757424746,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.807725395,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.831104659,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.866494261,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.890469956,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.261252839,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.320707637,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.400842232,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.524238328,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.617514363,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.67373145,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.843913814,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.888066173,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.069535093,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.207146137,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.319787274,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.350599969,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.644953158,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.728742784,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.866154142,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.023207419,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.134961438,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.163560874,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.217707426,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.255614067,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.297329092,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.315440813,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.372628444,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.404046552,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.429561722,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.551485751,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.604514478,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.747706513,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.791463887,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.905222738,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.019923949,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.25658091,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.350521248,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.399503647,0,0.0,0.0,0.0,0.0,0.0,0.0,False
