t,id,cx,cy,w,h,score,quality,valid
6.140038279,0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.223917343,0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.308502153,0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.716885281,0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.735586592,0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.93976248,0,0.0,0.0,0.0,0.0,0.0,0.0,False
7.098110543,0,0.0,0.0,0.0,0.0,0.0,0.0,False
7.190912813,0,0.0,0.0,0.0,0.0,0.0,0.0,False
7.37253419,0,0.0,0.0,0.0,0.0,0.0,0.0,False
7.530127506,0,0.0,0.0,0.0,0.0,0.0,0.0,False
7.73583963,0,0.0,0.0,0.0,0.0,0.0,0.0,False
8.232087319,0,0.0,0.0,0.0,0.0,0.0,0.0,False
8.356119917,0,0.0,0.0,0.0,0.0,0.0,0.0,False
8.422654903,0,0.0,0.0,0.0,0.0,0.0,0.0,False
8.913462582,0,0.0,0.0,0.0,0.0,0.0,0.0,False
9.014076921,0,0.0,0.0,0.0,0.0,0.0,0.0,False
9.034006594,0,0.0,0.0,0.0,0.0,0.0,0.0,False
9.232240116,0,0.0,0.0,0.0,0.0,0.0,0.0,False
9.281449933,0,0.0,0.0,0.0,0.0,0.0,0.0,False
9.351825749,0,0.0,0.0,0.0,0.0,0.0,0.0,False
9.952688071,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.337540698,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.442090497,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.485410096,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.528055005,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.575568696,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.650536515,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.698673434,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.775412417,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.805917034,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.956402807,0,0.0,0.0,0.0,0.0,0.0,0.0,False
10.997138013,0,0.0,0.0,0.0,0.0,0.0,0.0,False
11.026231229,0,0.0,0.0,0.0,0.0,0.0,0.0,False
11.061626297,0,0.0,0.0,0.0,0.0,0.0,0.0,False
11.16526868,0,0.0,0.0,0.0,0.0,0.0,0.0,False
11.265822055,0,0.0,0.0,0.0,0.0,0.0,0.0,False
11.641377787,0,0.0,0.0,0.0,0.0,0.0,0.0,False
11.739648735,0,0.0,0.0,0.0,0.0,0.0,0.0,False
11.883763415,0,0.0,0.0,0.0,0.0,0.0,0.0,False
12.16810702,0,0.0,0.0,0.0,0.0,0.0,0.0,False
12.398634471,0,0.0,0.0,0.0,0.0,0.0,0.0,False
12.515818768,0,0.0,0.0,0.0,0.0,0.0,0.0,False
12.571143398,0,0.0,0.0,0.0,0.0,0.0,0.0,False
12.637691662,0,0.0,0.0,0.0,0.0,0.0,0.0,False
12.67602394,0,0.0,0.0,0.0,0.0,0.0,0.0,False
13.010353544,0,0.0,0.0,0.0,0.0,0.0,0.0,False
13.176417945,0,0.0,0.0,0.0,0.0,0.0,0.0,False
13.661418941,0,0.0,0.0,0.0,0.0,0.0,0.0,False
13.733750396,0,0.0,0.0,0.0,0.0,0.0,0.0,False
13.811930053,0,0.0,0.0,0.0,0.0,0.0,0.0,False
13.95887128,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.002506614,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.124847389,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.282603532,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.292738164,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.338186144,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.402509894,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.449599631,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.529856827,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.561500271,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.618328673,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.676626293,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.686623923,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.708065439,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.789712536,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.827431093,0,0.0,0.0,0.0,0.0,0.0,0.0,False
14.979082771,0,0.0,0.0,0.0,0.0,0.0,0.0,False
