t,id,cx,cy,w,h,score,quality,valid
0.526482525,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.646850221,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.744131271,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.923974928,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.945029593,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.993251976,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.017617947,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.079284595,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.111640598,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.156641694,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.180324122,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.278175066,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.383320055,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.414111952,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.44414751,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.527535995,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.553660278,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.648156507,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.706036289,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.841371763,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.984757862,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.016556898,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.123634515,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.150585879,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.218088244,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.348827437,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.4186336,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.445530927,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.496750113,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.554536579,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.676295731,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.968126252,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.254643171,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.303326909,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.316215262,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.488685004,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.541703595,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.586694764,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.621868033,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.645987854,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.720774338,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.78479771,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.842038264,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.859542509,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.979278458,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.018514781,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.095538488,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.165729747,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.221932977,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.311323107,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.425580323,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.456789317,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.562522052,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.57324346,0,0.0,0.0,0.0,0.0,0.0,0.0,False
