t,state,control_mode,reason,target_track_id,visible,reacquired,quality,lat_ms,frames_since_seen,num_tracks,best_total,best_iou,best_distance,best_scale,best_confidence,best_track_id
6.749852796,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.074964,0,1,nan,nan,nan,nan,nan,
6.814091371,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.049223,0,1,nan,nan,nan,nan,nan,
6.873985035,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.048259,0,1,nan,nan,nan,nan,nan,
6.941059988,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.041204,0,1,nan,nan,nan,nan,nan,
6.984632243,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.057982,0,1,nan,nan,nan,nan,nan,
7.037378267,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.039556,0,1,nan,nan,nan,nan,nan,
7.064115681,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.041241,0,1,nan,nan,nan,nan,nan,
7.129905159,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.040241,0,1,nan,nan,nan,nan,nan,
7.264091287,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036204,0,1,nan,nan,nan,nan,nan,
7.290083397,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037685,0,1,nan,nan,nan,nan,nan,
7.535207291,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.043593,0,1,nan,nan,nan,nan,nan,
7.604535246,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.100353,0,1,nan,nan,nan,nan,nan,
7.635777887,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.042704,0,1,nan,nan,nan,nan,nan,
7.763935478,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.042612,0,1,nan,nan,nan,nan,nan,
8.377235032,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.04163,0,1,nan,nan,nan,nan,nan,
8.499400882,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,4.348522,0,1,nan,nan,nan,nan,nan,
8.622079997,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.088631,0,1,nan,nan,nan,nan,nan,
8.665380323,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.042297,0,1,nan,nan,nan,nan,nan,
8.686944596,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037279,0,1,nan,nan,nan,nan,nan,
8.769370042,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.045779,0,1,nan,nan,nan,nan,nan,
8.957105332,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.035871,0,1,nan,nan,nan,nan,nan,
9.010033321,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.039964,0,1,nan,nan,nan,nan,nan,
9.035960727,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.039148,0,1,nan,nan,nan,nan,nan,
9.073940559,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.043963,0,1,nan,nan,nan,nan,nan,
9.127781112,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.035315,0,1,nan,nan,nan,nan,nan,
9.137000938,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.038279,0,1,nan,nan,nan,nan,nan,
9.227965537,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.044834,0,1,nan,nan,nan,nan,nan,
9.267132806,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.094482,0,1,nan,nan,nan,nan,nan,
9.343285139,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036741,0,1,nan,nan,nan,nan,nan,
9.371092211,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.043482,0,1,nan,nan,nan,nan,nan,
9.402307258,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.035796,0,1,nan,nan,nan,nan,nan,
9.4509378,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.035093,0,1,nan,nan,nan,nan,nan,
9.502388312,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037685,0,1,nan,nan,nan,nan,nan,
9.577038668,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036279,0,1,nan,nan,nan,nan,nan,
9.624928629,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.038427,0,1,nan,nan,nan,nan,nan,
9.666729034,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.03776,0,1,nan,nan,nan,nan,nan,
9.71063368,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.039334,0,1,nan,nan,nan,nan,nan,
9.724458623,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036074,0,1,nan,nan,nan,nan,nan,
9.76159991,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036149,0,1,nan,nan,nan,nan,nan,
9.777993321,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.05713,0,1,nan,nan,nan,nan,nan,
9.808707493,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036889,0,1,nan,nan,nan,nan,nan,
9.841486685,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.038316,0,1,nan,nan,nan,nan,nan,
9.884204913,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.041593,0,1,nan,nan,nan,nan,nan,
10.054058926,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.038315,0,1,nan,nan,nan,nan,nan,
10.165416028,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.035722,0,1,nan,nan,nan,nan,nan,
10.248379109,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.03539,0,1,nan,nan,nan,nan,nan,
10.276976021,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037427,0,1,nan,nan,nan,nan,nan,
10.407052241,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037093,0,1,nan,nan,nan,nan,nan,
10.537064886,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.041834,0,1,nan,nan,nan,nan,nan,
10.603632279,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.098909,0,1,nan,nan,nan,nan,nan,
10.737507904,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.043297,0,1,nan,nan,nan,nan,nan,
10.793372957,LOCKED,NORMAL,operator_select,1,True,False,0.897982656955719,1.198733,0,1,nan,nan,nan,nan,nan,
10.8734834,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9482420053289757,0.42306,0,1,0.9753849683979271,0.9702391222809089,0.9998345773072032,0.999166479857866,0.8978336453437805,1
10.955880346,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9471785637484035,0.113482,0,1,0.9756027647694016,0.9721800005484542,0.9999880435711401,0.9991664810839644,0.8943907618522644,1
10.981320785,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9484186399947403,0.123909,0,1,0.9775105743791505,0.977789504985899,0.9999902683013391,0.9991664792571096,0.8943907618522644,1
11.026163588,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9396669289578092,0.534783,0,1,0.9621925432115169,0.9348375028230568,0.9999880427447625,0.9925232821661674,0.8978336453437805,1
11.047044392,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9380997939269178,0.263762,0,1,0.9636337456581581,0.9398862826915823,0.9999101927380736,0.9966700873970837,0.8906795978546143,1
11.093465969,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9488155105608727,0.251835,0,1,0.9761228254052347,0.972179763037616,0.9999902683013215,0.9991664810839644,0.8981019258499146,1
11.130495033,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9466778229142386,0.109612,0,1,0.9688374049335197,0.9492852792854946,0.9996399902165521,0.9966700479842645,0.9055243134498596,1
11.218355455,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9525890564193753,0.09813,0,1,0.9760296077713643,0.9674334307322703,0.9999398084789572,0.9991664809481564,0.9090566039085388,1
11.247727949,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9478600451624601,0.102649,0,1,0.9726545274679796,0.9604890039471187,0.999940231572953,0.999166472187123,0.9018131494522095,1
11.311324369,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9550941802464104,0.101945,0,1,0.9837839660586724,0.992743104050044,0.9999902683013391,1.0,0.9018131494522095,1
11.342994439,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9442311310524891,0.247836,0,1,0.9769187514224342,0.9801112509803667,0.9999513424536578,0.9999999999999769,0.883525550365448,1
11.381141255,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9478116707956683,0.179595,0,1,0.9785109050695546,0.9817991847545771,0.9999513432800753,0.9999999999999769,0.890798807144165,1
11.410523859,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9459865138485966,0.118093,0,1,0.973841087261062,0.9670907315392754,0.9999398113532015,0.9991664707461859,0.894256591796875,1
11.511833962,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9440359243731036,0.097964,0,1,0.9647729456394657,0.9357503129567943,0.9999787350991579,0.9991664679188571,0.9055243134498596,1
11.602512151,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9453995960126278,0.146131,0,1,0.9709317939663479,0.9565438856243395,0.9999588495395075,0.999999999999999,0.897982656955719,1
11.739352192,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9514816744639557,0.104593,0,1,0.9722634345314566,0.9560720836265356,0.9999774645471834,0.9966700472709072,0.9128869771957397,1
11.84423829,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9406001243545499,0.096927,0,1,0.9676569613973126,0.9522634531261676,0.9993751375870386,0.9966700654625941,0.8903517127037048,1
11.881772729,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9416670809791865,0.099834,0,1,0.9734555453224644,0.9707720302742352,0.9999026847960564,0.999166479857866,0.8826313614845276,1
11.921327687,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9487060024682168,0.093778,0,1,0.9802398749411847,0.9871320637718639,0.9999805375237555,0.9999999999999759,0.890143096446991,1
12.050820716,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9386874710418602,0.108408,0,1,0.9627000513593081,0.9358520987169634,0.9997567326383101,0.9966700680347557,0.8940926790237427,1
12.198520098,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9227525125158429,0.096464,0,1,0.9321416311099896,0.856198521606012,0.9985121409044151,0.9704266456169877,0.9053155779838562,1
12.250638968,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9463224618516946,0.267836,0,1,0.9682906956065288,0.9475900761582053,0.9997540833647314,0.996670023082936,0.9055243134498596,1
12.292057221,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9588134741498765,0.090816,0,1,0.981536783578111,0.9800694358258538,0.9999513441064577,1.0,0.9166130423545837,1
12.310716894,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9606745703058903,0.138224,0,1,0.9823936656556778,0.9810851839317088,0.9999124156423728,1.0,0.9203391075134277,1
12.343539271,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9648827155232429,0.086168,0,1,0.9888516557216644,1.0,1.0,1.0,0.9203689694404602,1
12.459893493,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9465491660582002,0.092001,0,1,0.9686876456167417,0.947487970804362,0.9997342059723928,0.9991664634861623,0.9054348468780518,1
12.62570858,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9493117952053618,0.100352,0,1,0.9768863402429102,0.9744270972806343,0.9999880431759253,0.9991664795709222,0.8981019258499146,1
12.681406279,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9518694658089544,0.109556,0,1,0.9748262287728091,0.9638041659595848,0.9999610737735882,0.9991664795709222,0.9092354774475098,1
12.730558566,LOCKED,NORMAL,accepted_candidate,1,True,False,0.948724228721748,0.18815,0,1,0.9719857215604571,0.9565440266742102,0.9999513408009983,0.9999999999999211,0.9055243134498596,1
12.792671288,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9536523872051483,0.10226,0,1,0.9775451136604099,0.9717899209608354,0.9999513408009983,0.9991664810839644,0.9092801809310913,1
12.845831131,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9632460922002792,0.089463,0,1,0.9883320927619934,1.0,1.0,1.0,0.9166578054428101,1
12.921835036,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9569896398761578,0.098612,0,1,0.9846696439123624,0.9937953701048033,0.9999902674749245,1.0,0.905583918094635,1
13.003892831,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9515268599466452,0.089964,0,1,0.9762653670977276,0.9696967689046678,0.9997567276810334,0.9991664885545722,0.905583918094635,1
13.090326203,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9533415825503092,0.282576,0,1,0.9790572480264416,0.9777891453727955,0.9999124181213884,0.9991664519715625,0.905583918094635,1
13.116181497,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9465979398139552,0.091427,0,1,0.9707128269318184,0.956072319283832,0.999976086063676,0.9966700837525019,0.9018131494522095,1
13.129458046,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9405763484668473,0.11952,0,1,0.9634471914144266,0.9362968728408416,0.9998898871211936,0.9966700798780114,0.8981019258499146,1
13.173458211,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9438836986156907,0.19302,0,1,0.9705337414883048,0.9573451941353074,0.9998911551188755,0.9991664916226426,0.8943907618522644,1
13.285357522,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9418383692892663,0.097149,0,1,0.9673870809861136,0.9495147499878437,0.9997567359431438,0.9966700443650686,0.8943907618522644,1
13.389720726,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9451913973114051,0.098575,0,1,0.9764700104672416,0.9777895811799434,0.9999124206003689,0.9991664850382536,0.8871025443077087,1
13.512026855,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9420636813761062,0.099315,0,1,0.9678942211043019,0.9498181160584667,0.9997427664392837,0.9991664850382536,0.8940926790237427,1
13.525464628,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9464895306178753,0.097983,0,1,0.9746149592137986,0.9689782108637973,0.9998709410329213,0.9999999999999187,0.894256591796875,1
13.557290495,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9519371132883203,0.090742,0,1,0.9828674443001583,0.9930607786603622,0.9999902683013391,1.0,0.8944950699806213,1
13.61273097,LOCKED,NORMAL,accepted_candidate,1,True,False,0.948984112354647,0.098001,0,1,0.9803788509315877,0.9873199043404863,0.9999805375237555,1.0,0.8906795978546143,1
13.655449105,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9502544900807512,0.097686,0,1,0.9823332782025173,0.9930607786603622,0.9999902683013391,1.0,0.8906795978546143,1
13.696400465,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9502122220396996,0.103168,0,1,0.9841943562030793,1.0,1.0,1.0,0.8871025443077087,1
13.736530632,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9484202523251305,0.252446,0,1,0.977513054887443,0.9777893643600786,1.0,0.9991664685872177,0.8943907618522644,1
13.814449518,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9468245753677392,0.095797,0,1,0.9713825413862412,0.9565442580502149,0.9999504779326812,0.99999999999999,0.9012169241905212,1
13.844412461,LOCKED,NORMAL,accepted_candidate,1,True,False,0.938871733681133,0.261391,0,1,0.9607444380120903,0.928407559163959,0.9997312282608419,0.9966700497734198,0.8982509970664978,1
14.016375882,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9459188098621228,0.093278,0,1,0.9697242417261936,0.9534144610704421,0.9997057496422651,0.9966700497734198,0.901708722114563,1
14.033328946,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9498406759390945,0.098556,0,1,0.9717451641941245,0.9560722190261252,0.9999902683013215,0.9966700682318492,0.9091609120368958,1
14.065335464,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9550858234141291,0.091779,0,1,0.9779206109007231,0.9716438901459599,0.9997567359431438,0.999166479857866,0.9126783609390259,1
14.102164267,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9497354454245304,0.209002,0,1,0.9717116824245046,0.9560719612582615,0.9999902683013391,0.9966700283272584,0.9089224338531494,1
14.213360626,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9337838518928925,0.086742,0,1,0.9492894760020939,0.8987819941959647,0.9976573973968208,0.9867466536426664,0.9049876928329468,1
14.231358996,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9484694894685337,0.101464,0,1,0.9718827645800036,0.9565440249857022,0.9998443041856235,0.9999999999999456,0.9049876928329468,1
14.282180854,LOCKED,NORMAL,accepted_candidate,1,True,False,0.942010490808483,0.102445,0,1,0.9596987255316454,0.923260993484835,0.9994357122165906,0.9925231938073468,0.9091609120368958,1
14.339552588,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9489888597084113,0.095334,0,1,0.976389516401448,0.9729939242372353,0.9999513424537455,0.999166463910145,0.8981019258499146,1
14.517204024,LOCKED,NORMAL,accepted_candidate,1,True,False,0.865211608273004,0.233928,0,1,0.841867610830855,0.6821085677456642,0.9751714163278048,0.8289281392162257,0.9085647463798523,1
14.532539017,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9352570149149712,0.10863,0,1,0.9474950528826799,0.8937715544356203,0.9983547956020286,0.9793688072308334,0.9125292301177979,1
14.594159605,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9402711057447751,0.105298,0,1,0.9614206359605545,0.9302651305291733,0.9984261522083431,0.9966700836572253,0.9009934067726135,1
14.823097533,LOCKED,NORMAL,accepted_candidate,1,True,False,0.8402825476407834,0.095187,0,1,0.8095021433829998,0.5996948758753259,0.8819916532736918,0.9480310775416425,0.8974461555480957,1
15.122947838,LOCKED,NORMAL,accepted_candidate,1,True,False,0.6924449828534984,0.111335,0,1,0.5876293728396929,0.3436785001409311,0.8177912743464699,0.29976997365897134,0.8871025443077087,1
15.164690075,LOCKED,NORMAL,accepted_candidate,1,True,False,0.9165960710700944,0.101075,0,1,0.9284323563112045,0.8403633768215114,0.9993720329500198,0.9868114657653378,0.8946143984794617,1
