t,state,control_mode,reason,target_track_id,visible,reacquired,quality,lat_ms,frames_since_seen,num_tracks,best_total,best_iou,best_distance,best_scale,best_confidence,best_track_id
3.5666e-05,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.040037,0,1,nan,nan,nan,nan,nan,
0.165835713,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.193035,0,1,nan,nan,nan,nan,nan,
0.262014022,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.106425,0,1,nan,nan,nan,nan,nan,
0.389286298,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.048463,0,1,nan,nan,nan,nan,nan,
0.579987537,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.050758,0,1,nan,nan,nan,nan,nan,
0.637028485,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.050093,0,1,nan,nan,nan,nan,nan,
0.886520589,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.081055,0,1,nan,nan,nan,nan,nan,
0.952960626,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036481,0,1,nan,nan,nan,nan,nan,
1.028574957,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036648,0,1,nan,nan,nan,nan,nan,
1.052496156,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.035963,0,1,nan,nan,nan,nan,nan,
1.104326768,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.064018,0,1,nan,nan,nan,nan,nan,
1.156186677,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.0555,0,1,nan,nan,nan,nan,nan,
1.191218786,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.040407,0,1,nan,nan,nan,nan,nan,
1.281794558,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.038833,0,1,nan,nan,nan,nan,nan,
1.362781595,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.051073,0,1,nan,nan,nan,nan,nan,
1.394696131,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.034722,0,1,nan,nan,nan,nan,nan,
1.459432402,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.038222,0,1,nan,nan,nan,nan,nan,
1.49146416,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.045666,0,1,nan,nan,nan,nan,nan,
1.558461471,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037648,0,1,nan,nan,nan,nan,nan,
1.602080025,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.111073,0,1,nan,nan,nan,nan,nan,
1.643146392,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036592,0,1,nan,nan,nan,nan,nan,
1.690021592,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.054592,0,1,nan,nan,nan,nan,nan,
1.723540322,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.066537,0,1,nan,nan,nan,nan,nan,
1.755606913,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.06037,0,1,nan,nan,nan,nan,nan,
1.862669265,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.062814,0,1,nan,nan,nan,nan,nan,
1.946885727,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.036907,0,1,nan,nan,nan,nan,nan,
2.03396943,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.035371,0,1,nan,nan,nan,nan,nan,
2.205295391,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.034888,0,1,nan,nan,nan,nan,nan,
2.239575172,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.039574,0,1,nan,nan,nan,nan,nan,
2.357341401,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.040352,0,1,nan,nan,nan,nan,nan,
2.384736911,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.038814,0,1,nan,nan,nan,nan,nan,
2.478022537,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.037536,0,1,nan,nan,nan,nan,nan,
2.571049406,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.044388,0,1,nan,nan,nan,nan,nan,
2.627964986,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.034111,0,1,nan,nan,nan,nan,nan,
2.723855059,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.03587,0,1,nan,nan,nan,nan,nan,
2.883807075,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.034722,0,1,nan,nan,nan,nan,nan,
2.991121335,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.072778,0,2,nan,nan,nan,nan,nan,
3.157767588,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.603237,0,1,nan,nan,nan,nan,nan,
3.347068677,NO_TARGET,NO_CONTROL,no_operator_selected_target,,False,False,0.0,0.054629,0,1,nan,nan,nan,nan,nan,
