t,id,cx,cy,w,h,score,quality,valid
0.174877655,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.268014113,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.377577891,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.569486308,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.636946282,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.875715954,0,0.0,0.0,0.0,0.0,0.0,0.0,False
0.94706659,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.026498211,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.067009841,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.108828758,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.154107616,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.19295683,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.281779428,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.371827611,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.393018531,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.454614896,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.487772165,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.552749786,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.600322314,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.649443555,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.693993214,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.716152684,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.754541216,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.857719648,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1.943742784,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.032110571,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.205308909,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.242362357,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.353607536,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.383240217,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.478045092,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.573486223,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.632360884,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.727657035,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.885650637,0,0.0,0.0,0.0,0.0,0.0,0.0,False
2.990456303,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.150759059,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.347120992,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.443029473,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.596175664,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.822151834,0,0.0,0.0,0.0,0.0,0.0,0.0,False
3.955341987,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.059473084,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.178719622,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.416215723,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.442013836,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.705841843,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.814030674,0,0.0,0.0,0.0,0.0,0.0,0.0,False
4.897089517,0,0.0,0.0,0.0,0.0,0.0,0.0,False
5.254957228,0,0.0,0.0,0.0,0.0,0.0,0.0,False
5.693205613,0,0.0,0.0,0.0,0.0,0.0,0.0,False
5.798306946,0,0.0,0.0,0.0,0.0,0.0,0.0,False
5.851289703,0,0.0,0.0,0.0,0.0,0.0,0.0,False
5.968983921,0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.039188495,0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.198948983,0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.35302436,0,0.0,0.0,0.0,0.0,0.0,0.0,False
6.469641288,0,0.0,0.0,0.0,0.0,0.0,0.0,False
